user_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,monthly_charges,total_charges,churn,contract,payment_method
1,Female,0,Yes,No,1,No,DSL,29.85,29.85,0,Month-to-month,Electronic check
2,Male,0,No,No,34,Yes,DSL,56.95,1889.5,0,One year,Mailed check
3,Male,0,No,No,2,Yes,DSL,53.85,108.15,1,Month-to-month,Mailed check
4,Male,0,No,No,45,No,DSL,42.3,1840.75,0,One year,Bank transfer (automatic)
5,Female,0,No,No,2,Yes,Fiber optic,70.7,151.65,1,Month-to-month,Electronic check
6,Female,0,No,No,8,Yes,Fiber optic,99.65,820.5,1,Month-to-month,Electronic check
7,Male,0,No,Yes,22,Yes,Fiber optic,89.1,1949.4,0,Month-to-month,Credit card (automatic)
8,Female,0,No,No,10,No,DSL,29.75,301.9,0,Month-to-month,Mailed check
9,Female,0,Yes,No,28,Yes,Fiber optic,104.8,3046.05,1,Month-to-month,Electronic check
10,Male,0,No,Yes,62,Yes,DSL,56.15,3487.95,0,One year,Bank transfer (automatic)
11,Male,0,Yes,Yes,13,Yes,DSL,49.95,587.45,0,Month-to-month,Mailed check
12,Male,0,No,No,16,Yes,No,18.95,326.8,0,Two year,Credit card (automatic)
13,Male,0,Yes,No,58,Yes,Fiber optic,100.35,5681.1,0,One year,Credit card (automatic)
14,Male,0,No,No,49,Yes,Fiber optic,103.7,5036.3,1,Month-to-month,Bank transfer (automatic)
15,Male,0,No,No,25,Yes,Fiber optic,105.5,2686.05,0,Month-to-month,Electronic check
16,Female,0,Yes,Yes,69,Yes,Fiber optic,113.25,7895.15,0,Two year,Credit card (automatic)
17,Female,0,No,No,52,Yes,No,20.65,1022.95,0,One year,Mailed check
18,Male,0,No,Yes,71,Yes,Fiber optic,106.7,7382.25,0,Two year,Bank transfer (automatic)
19,Female,0,Yes,Yes,10,Yes,DSL,55.2,528.35,1,Month-to-month,Credit card (automatic)
20,Female,0,No,No,21,Yes,Fiber optic,90.05,1862.9,0,Month-to-month,Electronic check
21,Male,1,No,No,1,No,DSL,39.65,39.65,1,Month-to-month,Electronic check
22,Male,0,Yes,No,12,Yes,No,19.8,202.25,0,One year,Bank transfer (automatic)
23,Male,0,No,No,1,Yes,No,20.15,20.15,1,Month-to-month,Mailed check
24,Female,0,Yes,No,58,Yes,DSL,59.9,3505.1,0,Two year,Credit card (automatic)
25,Male,0,Yes,Yes,49,Yes,DSL,59.6,2970.3,0,Month-to-month,Credit card (automatic)
26,Female,0,No,No,30,Yes,DSL,55.3,1530.6,0,Month-to-month,Bank transfer (automatic)
27,Male,0,Yes,Yes,47,Yes,Fiber optic,99.35,4749.15,1,Month-to-month,Electronic check
28,Male,0,Yes,Yes,1,No,DSL,30.2,30.2,1,Month-to-month,Electronic check
29,Male,0,Yes,No,72,Yes,DSL,90.25,6369.45,0,Two year,Credit card (automatic)
30,Female,0,No,Yes,17,Yes,DSL,64.7,1093.1,1,Month-to-month,Mailed check
31,Female,1,Yes,No,71,Yes,Fiber optic,96.35,6766.95,0,Two year,Credit card (automatic)
32,Male,1,Yes,No,2,Yes,Fiber optic,95.5,181.65,0,Month-to-month,Credit card (automatic)
33,Female,0,Yes,Yes,27,Yes,DSL,66.15,1874.45,0,One year,Mailed check
34,Male,0,No,No,1,Yes,No,20.2,20.2,0,Month-to-month,Bank transfer (automatic)
