subscription_id,user_id,plan_type,monthly_revenue,tenure_months,is_churned,internet_service,total_revenue
telco_1,1,Month-to-month,29.85,1,0,DSL,29.85
telco_2,2,One year,56.95,34,0,DSL,1889.5
telco_3,3,Month-to-month,53.85,2,1,DSL,108.15
telco_4,4,One year,42.3,45,0,DSL,1840.75
telco_5,5,Month-to-month,70.7,2,1,Fiber optic,151.65
telco_6,6,Month-to-month,99.65,8,1,Fiber optic,820.5
telco_7,7,Month-to-month,89.1,22,0,Fiber optic,1949.4
telco_8,8,Month-to-month,29.75,10,0,DSL,301.9
telco_9,9,Month-to-month,104.8,28,1,Fiber optic,3046.05
telco_10,10,One year,56.15,62,0,DSL,3487.95
telco_11,11,Month-to-month,49.95,13,0,DSL,587.45
telco_12,12,Two year,18.95,16,0,No,326.8
telco_13,13,One year,100.35,58,0,Fiber optic,5681.1
telco_14,14,Month-to-month,103.7,49,1,Fiber optic,5036.3
telco_15,15,Month-to-month,105.5,25,0,Fiber optic,2686.05
telco_16,16,Two year,113.25,69,0,Fiber optic,7895.15
telco_17,17,One year,20.65,52,0,No,1022.95
telco_18,18,Two year,106.7,71,0,Fiber optic,7382.25
telco_19,19,Month-to-month,55.2,10,1,DSL,528.35
telco_20,20,Month-to-month,90.05,21,0,Fiber optic,1862.9
telco_21,21,Month-to-month,39.65,1,1,DSL,39.65
telco_22,22,One year,19.8,12,0,No,202.25
telco_23,23,Month-to-month,20.15,1,1,No,20.15
telco_24,24,Two year,59.9,58,0,DSL,3505.1
telco_25,25,Month-to-month,59.6,49,0,DSL,2970.3
telco_26,26,Month-to-month,55.3,30,0,DSL,1530.6
telco_27,27,Month-to-month,99.35,47,1,Fiber optic,4749.15
telco_28,28,Month-to-month,30.2,1,1,DSL,30.2
telco_29,29,Two year,90.25,72,0,DSL,6369.45
telco_30,30,Month-to-month,64.7,17,1,DSL,1093.1
telco_31,31,Two year,96.35,71,0,Fiber optic,6766.95
telco_32,32,Month-to-month,95.5,2,0,Fiber optic,181.65
telco_33,33,One year,66.15,27,0,DSL,1874.45
