subscription_id,user_id,plan,price,billing_date,status,churn_date,churn_reason
1_202311,1,Family,24.99,2023-11-24,active,,
1_202312,1,Family,24.99,2023-12-24,active,,
1_202401,1,Family,24.99,2024-01-23,active,,
1_202402,1,Family,24.99,2024-02-22,active,,
1_202403,1,Family,24.99,2024-03-23,active,,
1_202404,1,Family,24.99,2024-04-22,active,,
1_202405,1,Family,24.99,2024-05-22,active,,
2_202302,2,Family,24.99,2023-02-22,active,,
2_202303,2,Family,24.99,2023-03-24,active,,
2_202304,2,Family,24.99,2023-04-23,active,,
2_202305,2,Family,24.99,2023-05-23,active,,
2_202306,2,Family,24.99,2023-06-22,active,,
2_202307,2,Family,24.99,2023-07-22,active,,
3_202302,3,Family,24.99,2023-02-17,active,,
3_202303,3,Family,24.99,2023-03-19,active,,
3_202304,3,Family,24.99,2023-04-18,active,,
3_202305,3,Family,24.99,2023-05-18,active,,
3_202306,3,Family,24.99,2023-06-17,active,,
3_202307,3,Family,24.99,2023-07-17,active,,
3_202308,3,Family,24.99,2023-08-16,active,,
3_202309,3,Family,24.99,2023-09-15,active,,
4_202311,4,Family,24.99,2023-11-29,active,,
4_202312,4,Family,24.99,2023-12-29,active,,
4_202401,4,Family,24.99,2024-01-28,active,,
4_202402,4,Family,24.99,2024-02-27,active,,
5_202303,5,Basic,9.99,2023-03-23,active,,
5_202304,5,Basic,9.99,2023-04-22,active,,
5_202305,5,Basic,9.99,2023-05-22,active,,
5_202306,5,Basic,9.99,2023-06-21,churned,2023-07-04,Price
6_202302,6,Standard,14.99,2023-02-22,active,,
6_202303,6,Standard,14.99,2023-03-24,active,,
6_202304,6,Standard,14.99,2023-04-23,active,,
6_202305,6,Standard,14.99,2023-05-23,active,,
7_202308,7,Standard,14.99,2023-08-24,active,,
7_202309,7,Standard,14.99,2023-09-23,active,,
7_202310,7,Standard,14.99,2023-10-23,active,,
7_202311,7,Standard,14.99,2023-11-22,active,,
7_202312,7,Standard,14.99,2023-12-22,active,,
7_202401,7,Standard,14.99,2024-01-21,active,,
7_202402,7,Standard,14.99,2024-02-20,active,,
7_202403,7,Standard,14.99,2024-03-21,active,,
8_202304,8,Family,24.99,2023-04-09,active,,
8_202305,8,Family,24.99,2023-05-09,active,,
8_202306,8,Family,24.99,2023-06-08,active,,
